Time,Source,Destination,Protocol,Length,Info,No.
1712231952.309636,192.168.100.14,239.255.255.250,17,96,Ether / IP / UDP 192.168.100.14:3423 > 239.255.255.250:3423 / Raw,0
1712231952.5999808,192.168.100.14,239.255.255.250,17,96,Ether / IP / UDP 192.168.100.14:3423 > 239.255.255.250:3423 / Raw,1
1712231952.6359768,192.168.100.2,224.0.0.251,17,86,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp_v2._tcp.local.'"" ",2
1712231952.6359768,192.168.100.2,224.0.0.251,17,83,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp._tcp.local.'"" ",3
1712231952.6369784,192.168.100.2,224.0.0.251,17,344,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp_v2._tcp.local.'"" ",4
1712231952.637977,192.168.100.2,224.0.0.251,17,335,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp._tcp.local.'"" ",5
1712231952.809197,192.168.100.14,239.255.255.250,17,96,Ether / IP / UDP 192.168.100.14:3423 > 239.255.255.250:3423 / Raw,6
1712231953.127687,192.168.100.14,239.255.255.250,17,96,Ether / IP / UDP 192.168.100.14:3423 > 239.255.255.250:3423 / Raw,7
1712231953.1835349,192.168.100.2,1.1.1.1,17,70,"Ether / IP / UDP / DNS Qry ""b'github.com.'"" ",8
1712231953.1915882,1.1.1.1,192.168.100.2,17,86,"Ether / IP / UDP / DNS Ans ""140.82.114.3"" ",9
1712231953.1931617,192.168.100.2,140.82.114.3,6,66,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https S,10
1712231953.2594833,140.82.114.3,192.168.100.2,6,66,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 SA,11
1712231953.2599998,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,12
1712231953.2668216,192.168.100.2,140.82.114.3,6,571,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,13
1712231953.3328304,140.82.114.3,192.168.100.2,6,1466,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 A / Raw,14
1712231953.3338304,140.82.114.3,192.168.100.2,6,1466,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,15
1712231953.3348289,140.82.114.3,192.168.100.2,6,723,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,16
1712231953.3348289,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,17
1712231953.3348289,192.168.100.2,140.82.114.3,6,118,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,18
1712231953.399129,192.168.100.2,140.82.114.3,6,100,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,19
1712231953.4001293,192.168.100.2,140.82.114.3,6,103,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,20
1712231953.4001293,192.168.100.2,140.82.114.3,6,89,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,21
1712231953.4011312,192.168.100.2,140.82.114.3,6,273,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,22
1712231953.4011312,140.82.114.3,192.168.100.2,6,133,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,23
1712231953.4121296,140.82.114.3,192.168.100.2,6,133,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,24
1712231953.4121296,140.82.114.3,192.168.100.2,6,118,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,25
1712231953.4131296,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,26
1712231953.4131296,192.168.100.2,140.82.114.3,6,85,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,27
1712231953.4131296,192.168.100.2,142.250.115.188,6,55,Ether / IP / TCP 192.168.100.2:50399 > 142.250.115.188:5228 A / Raw,28
1712231953.4191341,140.82.114.3,192.168.100.2,6,459,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,29
1712231953.4201407,140.82.114.3,192.168.100.2,6,133,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,30
1712231953.4211404,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,31
1712231953.42214,140.82.114.3,192.168.100.2,6,197,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,32
1712231953.42214,192.168.100.2,140.82.114.3,6,187,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,33
1712231953.449853,192.168.100.2,140.82.114.3,6,250,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,34
1712231953.449853,142.250.115.188,192.168.100.2,6,66,Ether / IP / TCP 142.250.115.188:5228 > 192.168.100.2:50399 A,35
1712231953.468114,192.168.100.14,239.255.255.250,17,96,Ether / IP / UDP 192.168.100.14:3423 > 239.255.255.250:3423 / Raw,36
1712231953.4875543,140.82.114.3,192.168.100.2,6,60,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 A / Padding,37
1712231953.511273,140.82.114.3,192.168.100.2,6,102,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,38
1712231953.511273,140.82.114.3,192.168.100.2,6,409,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,39
1712231953.5122736,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,40
1712231953.513274,140.82.114.3,192.168.100.2,6,150,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,41
1712231953.5412738,140.82.114.3,192.168.100.2,6,85,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,42
1712231953.5422735,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https A,43
1712231953.5422735,192.168.100.2,140.82.114.3,6,78,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https PA / Raw,44
1712231953.6072736,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https FA,45
1712231953.6072736,140.82.114.3,192.168.100.2,6,78,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 PA / Raw,46
1712231953.6082747,192.168.100.2,140.82.114.3,6,54,Ether / IP / TCP 192.168.100.2:60412 > 140.82.114.3:https RA,47
1712231953.6082747,140.82.114.3,192.168.100.2,6,60,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 FA / Padding,48
1712231953.6092746,140.82.114.3,192.168.100.2,6,60,Ether / IP / TCP 140.82.114.3:https > 192.168.100.2:60412 A / Padding,49
1712231954.2157736,192.168.100.2,20.189.173.2,6,172,Ether / IP / TCP 192.168.100.2:59582 > 20.189.173.2:https PA / Raw,50
1712231954.2819932,192.168.100.2,20.189.173.2,6,93,Ether / IP / TCP 192.168.100.2:59582 > 20.189.173.2:https PA / Raw,51
1712231954.2819932,192.168.100.2,20.189.173.2,6,2214,Ether / IP / TCP 192.168.100.2:59582 > 20.189.173.2:https PA / Raw,52
1712231954.2819932,20.189.173.2,192.168.100.2,6,60,Ether / IP / TCP 20.189.173.2:https > 192.168.100.2:59582 A / Padding,53
1712231954.2842119,20.189.173.2,192.168.100.2,6,60,Ether / IP / TCP 20.189.173.2:https > 192.168.100.2:59582 A / Padding,54
1712231954.284994,20.189.173.2,192.168.100.2,6,93,Ether / IP / TCP 20.189.173.2:https > 192.168.100.2:59582 PA / Raw,55
1712231954.284994,192.168.100.2,1.1.1.1,17,92,"Ether / IP / UDP / DNS Qry ""b'mobile.events.data.microsoft.com.'"" ",56
1712231954.2934523,1.1.1.1,192.168.100.2,17,213,"Ether / IP / UDP / DNS Ans ""b'mobile.events.data.trafficmanager.net.'"" ",57
1712231954.2934523,192.168.100.2,51.132.193.105,6,66,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https S,58
1712231954.3149748,192.168.100.2,51.132.193.105,6,66,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https S,59
1712231954.3221369,192.168.100.2,20.189.173.2,6,54,Ether / IP / TCP 192.168.100.2:59582 > 20.189.173.2:https A,60
1712231954.388217,20.189.173.2,192.168.100.2,6,148,Ether / IP / TCP 20.189.173.2:https > 192.168.100.2:59582 PA / Raw,61
1712231954.3884594,192.168.100.2,20.189.173.2,6,89,Ether / IP / TCP 192.168.100.2:59582 > 20.189.173.2:https PA / Raw,62
1712231954.435461,51.132.193.105,192.168.100.2,6,66,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 SA,63
1712231954.436462,192.168.100.2,51.132.193.105,6,54,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https A,64
1712231954.4372644,192.168.100.2,51.132.193.105,6,571,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https PA / Raw,65
1712231954.4574633,51.132.193.105,192.168.100.2,6,66,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 SA,66
1712231954.4574633,192.168.100.2,51.132.193.105,6,54,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https A,67
1712231954.4584603,192.168.100.2,51.132.193.105,6,571,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https PA / Raw,68
1712231954.5064602,20.189.173.2,192.168.100.2,6,60,Ether / IP / TCP 20.189.173.2:https > 192.168.100.2:59582 A / Padding,69
1712231954.5995169,51.132.193.105,192.168.100.2,6,153,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 PA / Raw,70
1712231954.6005063,192.168.100.2,51.132.193.105,6,491,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https PA / Raw,71
1712231954.613872,51.132.193.105,192.168.100.2,6,153,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 PA / Raw,72
1712231954.614525,192.168.100.2,51.132.193.105,6,491,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https PA / Raw,73
1712231954.6393938,192.168.100.2,224.0.0.251,17,83,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp._tcp.local.'"" ",74
1712231954.6403937,192.168.100.2,224.0.0.251,17,335,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp._tcp.local.'"" ",75
1712231954.641395,192.168.100.2,224.0.0.251,17,86,"Ether / IP / UDP / DNS Qry ""b'_oculusal_sp_v2._tcp.local.'"" ",76
1712231954.6423936,192.168.100.2,224.0.0.251,17,344,"Ether / IP / UDP / DNS Ans ""b'flaco::DESKTOP-RMG725S._oculusal_sp_v2._tcp.local.'"" ",77
1712231954.7486398,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Raw,78
1712231954.7506382,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Raw,79
1712231954.7506382,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Raw,80
1712231954.751638,51.132.193.105,192.168.100.2,6,350,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 PA / Raw,81
1712231954.751638,192.168.100.2,51.132.193.105,6,54,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https A,82
1712231954.7526393,192.168.100.2,51.132.193.105,6,14174,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https A / Raw,83
1712231954.770638,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 A / Raw,84
1712231954.7708783,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 A / Raw,85
1712231954.771638,51.132.193.105,192.168.100.2,6,1466,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 A / Raw,86
1712231954.7726398,51.132.193.105,192.168.100.2,6,350,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 PA / Raw,87
1712231954.7726398,192.168.100.2,51.132.193.105,6,54,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https A,88
1712231954.773639,192.168.100.2,51.132.193.105,6,7651,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https PA / Raw,89
1712231954.895679,51.132.193.105,192.168.100.2,6,60,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Padding,90
1712231954.9136384,51.132.193.105,192.168.100.2,6,60,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Padding,91
1712231954.9136384,51.132.193.105,192.168.100.2,6,157,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 PA / Raw,92
1712231954.9146376,192.168.100.2,51.132.193.105,6,5910,Ether / IP / TCP 192.168.100.2:60414 > 51.132.193.105:https PA / Raw,93
1712231954.9146376,51.132.193.105,192.168.100.2,6,60,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 A / Padding,94
1712231954.9286394,51.132.193.105,192.168.100.2,6,60,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 A / Padding,95
1712231954.9286394,51.132.193.105,192.168.100.2,6,157,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60413 PA / Raw,96
1712231954.9696932,192.168.100.2,51.132.193.105,6,54,Ether / IP / TCP 192.168.100.2:60413 > 51.132.193.105:https A,97
1712231955.0365798,51.132.193.105,192.168.100.2,6,60,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 A / Padding,98
1712231955.060221,51.132.193.105,192.168.100.2,6,520,Ether / IP / TCP 51.132.193.105:https > 192.168.100.2:60414 FPA / Raw,99
